County,State,Value
Grant,WA,409.2
Shelby,AL,409.2
Williamson,IL,409.6
Shelby,IA,409.6
Pierce,WA,409.6
Union,NM,409.7
Terrell,TX,409.8
Mitchell,IA,409.9
Piatt,IL,410
Ozaukee,WI,410
Millard,UT,410.1
Buffalo,SD,410.1
Amador,CA,410.1
Glacier,MT,410.3
Washburn,WI,410.3
Real,TX,410.4
Franklin,VA,410.5
Codington,SD,410.6
Sac,IA,410.6
Twin Falls,ID,410.7
Lewis,ID,410.7
Kimble,TX,410.8
Monroe,PA,410.9
Mitchell,KS,410.9
Henrico,VA,411
Mesa,CO,411.1
Atchison,MO,411.3
St. Mary's,MD,411.3
King and Queen,VA,411.4
Adams,WA,411.5
Marion,KS,411.6
Alleghany,NC,411.7
Rock,WI,411.7
Kerr,TX,411.7
Vernon,WI,411.8
Villalba,PR,411.8
Dawes,NE,411.8
Harvey,KS,411.8
Delta,CO,411.8
St. Tammany,LA,412.1
Page,IA,412.2
Brown,WI,412.2
Bradford,FL,412.4
Richland,MT,412.5
Grant,SD,412.5
McCormick,SC,412.6
Hampshire,WV,412.6
Alamance,NC,412.6
Boone,IL,412.6
Westmoreland,VA,412.7
Grant,WI,412.8
Harrisonburg,VA,412.9
Caledonia,VT,412.9
Washington,KS,412.9
Boone,KY,412.9
Carteret,NC,413
Bowman,ND,413
Lancaster,VA,413
Sauk,WI,413.1
Adams,PA,413.2
Stafford,KS,413.2
Okaloosa,FL,413.3
Hitchcock,NE,413.3
Onondaga,NY,413.5
Roberts,SD,413.5
Door,WI,413.6
Bandera,TX,413.7
Aurora,SD,413.8
Prowers,CO,414
Franklin,IL,414.2
Big Horn,MT,414.2
Manassas,VA,414.2
Powell,MT,414.3
Russell,KS,414.4
Hyde,SD,414.4
Edwards,TX,414.4
Craig,VA,414.5
Louisa,IA,414.6
Utah,UT,414.8
Monroe,WV,414.9
Ogle,IL,415
Monroe,WI,415.1
Spencer,IN,415.3
Hardin,IA,415.5
Carroll,IA,415.6
Campbell,WY,415.6
Orleans,VT,415.7
Lampasas,TX,415.7
Kenai Peninsula,AK,415.8
New Hanover,NC,415.9
Johnson,TN,415.9
Benton,AR,416.1
Mendocino,CA,416.1
Fulton,GA,416.1
Albany,NY,416.3
Bennington,VT,416.3
Sanpete,UT,416.5
Yankton,SD,416.5
Lyon,KS,416.6
Broward,FL,416.8
Gila,AZ,416.8
Walker,TX,416.8
Juab,UT,416.9
Rawlins,KS,416.9
Cortland,NY,416.9
Jackson,WI,417
Antelope,NE,417.2
Franklin,IA,417.3
Harford,MD,417.4
Harding,SD,417.5
Queen Anne's,MD,417.6
Hanover,VA,417.7
Montour,PA,418.3
Kent,MD,418.3
Bonneville,ID,418.3
Harrison,IA,418.5
Gem,ID,418.6
Oglethorpe,GA,418.6
Clinton,NY,418.7
Anne Arundel,MD,418.8
Cowlitz,WA,418.8
Price,WI,418.8
Antrim,MI,418.9
Cayuga,NY,418.9
Douglas,IL,419
Gooding,ID,419.1
Clay,NE,419.1
Fergus,MT,419.1
Richmond,VA,419.1
