County,State, Value ,
Franklin,IL, 40.20 ,  
Grant,IN, 40.20 ,  
Beaverhead,MT, 40.20 ,  
Putnam,MO, 40.20 ,  
Hale,TX, 40.20 ,  
Dyer,TN, 40.20 ,  
Meigs,TN, 40.20 ,  
Abbeville,SC, 40.20 ,  
Franklin City,VA, 40.20 ,  
Hardy,WV, 40.20 ,  
Grundy,MO, 40.30 ,  
Barton,MO, 40.30 ,  
Jones,MS, 40.30 ,  
Caddo,OK, 40.30 ,  
Caldwell,KY, 40.30 ,  
Barren,KY, 40.30 ,  
Prairie,AR, 40.30 ,  
Randolph,AL, 40.30 ,  
Drew,AR, 40.40 ,  
Montgomery,NC, 40.40 ,  
Carroll,TN, 40.40 ,  
Carroll,VA, 40.40 ,  
Floyd,TX, 40.50 ,  
Putnam,TN, 40.50 ,  
Bailey,TX, 40.50 ,  
Upshur,WV, 40.50 ,  
Nottoway,VA, 40.50 ,  
Doddridge,WV, 40.50 ,  
Wexford,MI, 40.50 ,  
Dale,AL, 40.50 ,  
Greenwood,KS, 40.50 ,  
Talladega,AL, 40.60 ,  
Tehama,CA, 40.60 ,  
Suwannee,FL, 40.60 ,  
Dooly,GA, 40.60 ,  
Itawamba,MS, 40.60 ,  
Macon,MO, 40.60 ,  
Caswell,NC, 40.60 ,  
Chaves,NM, 40.60 ,  
Rolette,ND, 40.60 ,  
Muskogee,OK, 40.60 ,  
Ferry,WA, 40.60 ,  
Cass,TX, 40.60 ,  
Greenwood,SC, 40.60 ,  
Kinney,TX, 40.60 ,  
Curry,OR, 40.70 ,  
Morgan,OH, 40.70 ,  
Phelps,MO, 40.70 ,  
Shelby,MO, 40.70 ,  
Chouteau,MT, 40.70 ,  
Baldwin,GA, 40.70 ,  
Lafayette,FL, 40.70 ,  
Montezuma,CO, 40.70 ,  
Gila,AZ, 40.70 ,  
Crittenden,KY, 40.70 ,  
Saline,IL, 40.70 ,  
Lake,CA, 40.80 ,  
McIntosh,GA, 40.80 ,  
Walker,GA, 40.80 ,  
Sullivan,MO, 40.80 ,  
Madison,NC, 40.80 ,  
Benson,ND, 40.80 ,  
Essex,VT, 40.80 ,  
Bee,TX, 40.80 ,  
Houston,TN, 40.80 ,  
Greene,TN, 40.90 ,  
DeKalb,TN, 40.90 ,  
McMinn,TN, 40.90 ,  
Jones,TX, 40.90 ,  
Wayne,WV, 40.90 ,  
Lake,MT, 40.90 ,  
Laclede,MO, 40.90 ,  
Bollinger,MO, 40.90 ,  
Lauderdale,MS, 40.90 ,  
Muscogee,GA, 40.90 ,  
Gadsden,FL, 40.90 ,  
Siskiyou,CA, 40.90 ,  
Ohio,KY, 40.90 ,  
Jewell,KS, 40.90 ,  
Chautauqua,KS, 40.90 ,  
Cross,AR, 41.00 ,  
Etowah,AL, 41.00 ,  
Wadena,MN, 41.00 ,  
Osceola,MI, 41.00 ,  
Garvin,OK, 41.00 ,  
Nolan,TX, 41.00 ,  
Wilbarger,TX, 41.00 ,  
Terrell,TX, 41.10 ,  
Dawson,TX, 41.10 ,  
Prince Edward,VA, 41.10 ,  
Coal,OK, 41.10 ,  
Macon,NC, 41.10 ,  
Sheridan,NE, 41.10 ,  
Crawford,MO, 41.10 ,  
Rio Grande,CO, 41.10 ,  
Holmes,FL, 41.10 ,  
Richmond,GA, 41.10 ,  
Lewis,ID, 41.10 ,  
Cherokee,KS, 41.10 ,  
Wayne,IA, 41.10 ,  
Decatur,KS, 41.10 ,  
Labette,KS, 41.10 ,  
Christian,KY, 41.10 ,  
Todd,KY, 41.10 ,  
Orange,IN, 41.10 ,  
Jackson,LA, 41.20 ,  
Marion,KY, 41.20 ,  
Madison,ID, 41.20 ,  
Hart,GA, 41.20 ,  
Warren,MS, 41.20 ,  
Linn,MO, 41.20 ,  
Lincoln,NM, 41.20 ,  
Chowan,NC, 41.20 ,  
Sumter,SC, 41.20 ,  
McPherson,SD, 41.30 ,  
Mitchell,TX, 41.30 ,  
Delta,TX, 41.30 ,  
Waynesboro,VA, 41.30 ,  
Miller,MO, 41.30 ,  
Worth,MO, 41.30 ,  
Gladwin,MI, 41.30 ,  
